rank,feature,importance,feature_group
1,dce_corn_close_ret_12m,0.10133262799567898,structured
2,dce_corn_close_ret_6m,0.06552028041594976,structured
3,cbot_corn_close_last,0.02277068634379811,structured
4,dce_corn_close_ret_3m,0.02244453805737182,structured
5,cbot_corn_low_min,0.02057130925982434,structured
6,pca_018,0.019621987550395976,news_pca
7,cbot_corn_high_max,0.019165342430707978,structured
8,cbot_corn_close_mean,0.018594184010944113,structured
9,dce_corn_close_vol_12m,0.01856164350823429,structured
10,pca_022,0.018160286633753825,news_pca
11,cbot_wheat_close_last,0.017972344334664395,structured
12,dce_corn_close_ma12,0.01729332255964599,structured
13,pca_025,0.017133956531735113,news_pca
14,dce_corn_starch_month_range_pct,0.01679790222919476,structured
